Sentence	Label
חמישים ותשעה מדינות	0
חמישים ותשע מדינות	1
ארבעים ושבעה מטבחים	1
ארבעים ושבע מטבחים	0
שלשים וחמישה נדנדות	0
שלשים וחמש נדנדות	1
שמונים ושבעה מחשבים	1
שמונים ושבע מחשבים	0
חמישים וחמישה רובים	1
חמישים וחמש רובים	0
ארבעים ושישה מסכים	1
ארבעים ושש מסכים	0
תשעים ותשעה מפקדים	1
תשעים ותשע מפקדים	0
מאה קומקומים	1
מאה קומקומים	1
שמונה עשר שידות	0
שמונה עשרה שידות	1
שלשים ושמונה מכנסיים	1
שלשים ושמונה מכנסיים	1
שמונים נדנדות	1
שמונים נדנדות	1
מאה ספסלים	1
מאה ספסלים	1
